name,url,State,Party,Served,District
"Representative Brasco, Frank",https://www.congress.gov/member/frank-brasco/B000771,New York,Democratic,House: 1967-1975,11
"Representative Brat, Dave",https://www.congress.gov/member/dave-brat/B001290,Virginia,Republican,House: 2014-2019,7
"Senator Braun, Mike",https://www.congress.gov/member/mike-braun/B001310,Indiana,Republican,Senate: 2019-Present,
"Representative Bray, William G.",https://www.congress.gov/member/william-bray/B000778,Indiana,Republican,House: 1951-1975,6
"Senator Breaux, John B.",https://www.congress.gov/member/john-breaux/B000780,Louisiana,Democratic,Senate: 1987-2005 House: 1971-1987,
"Representative Breckinridge, John B.",https://www.congress.gov/member/john-breckinridge/B000788,Kentucky,Democratic,House: 1973-1979,6
"Representative Brennan, Joseph E.",https://www.congress.gov/member/joseph-brennan/B000798,Maine,Democratic,House: 1987-1991,1
"Representative Brewster, Bill K.",https://www.congress.gov/member/bill-brewster/B000817,Oklahoma,Democratic,House: 1991-1997,3
"Representative Bridenstine, Jim",https://www.congress.gov/member/jim-bridenstine/B001283,Oklahoma,Republican,House: 2013-2018,1
"Representative Bright, Bobby",https://www.congress.gov/member/bobby-bright/B001264,Alabama,Democratic,House: 2009-2011,2
"Representative Brindisi, Anthony",https://www.congress.gov/member/anthony-brindisi/B001308,New York,Democratic,House: 2019-2021,22
"Representative Brinkley, Jack",https://www.congress.gov/member/jack-brinkley/B000839,Georgia,Democratic,House: 1967-1983,3
"Representative Britt, Robin",https://www.congress.gov/member/robin-britt/B000845,North Carolina,Democratic,House: 1983-1985,6
"Senator Brock, Bill",https://www.congress.gov/member/william-brock/B000851,Tennessee,Republican,Senate: 1971-1977 House: 1963-1971,
"Representative Brodhead, William",https://www.congress.gov/member/william-brodhead/B000862,Michigan,Democratic,House: 1975-1983,17
"Senator Brooke, Edward W.",https://www.congress.gov/member/edward-brooke/B000871,Massachusetts,Republican,Senate: 1967-1979,
"Representative Brooks, Jack B.",https://www.congress.gov/member/jack-brooks/B000880,Texas,Democratic,House: 1953-1995,9
"Representative Brooks, Mo",https://www.congress.gov/member/mo-brooks/B001274,Alabama,Republican,House: 2011-Present,5
"Representative Brooks, Susan W.",https://www.congress.gov/member/susan-brooks/B001284,Indiana,Republican,House: 2013-2021,5
"Representative Broomfield, William S.",https://www.congress.gov/member/william-broomfield/B000890,Michigan,Republican,House: 1957-1993,18
"Representative Brotzman, Donald G.",https://www.congress.gov/member/donald-brotzman/B000893,Colorado,Republican,"House: 1963-1965, 1967-1975",2
"Representative Broun, Paul C.",https://www.congress.gov/member/paul-broun/B001262,Georgia,Republican,House: 2007-2015,10
"Representative Browder, Glen",https://www.congress.gov/member/glen-browder/B000897,Alabama,Democratic,House: 1989-1997,3
"Representative Brown, Anthony G.",https://www.congress.gov/member/anthony-brown/B001304,Maryland,Democratic,House: 2017-Present,4
"Representative Brown, Clarence, Jr.",https://www.congress.gov/member/clarence-brown/B000910,Ohio,Republican,House: 1965-1983,7
"Representative Brown, Corrine",https://www.congress.gov/member/corrine-brown/B000911,Florida,Democratic,House: 1993-2017,5
"Representative Brown, Garry E.",https://www.congress.gov/member/garry-brown/B000917,Michigan,Republican,House: 1967-1979,3
"Representative Brown, George E., Jr.",https://www.congress.gov/member/george-brown/B000918,California,Democratic,"House: 1963-1971, 1973-2001",42
"Senator Brown, Hank",https://www.congress.gov/member/george-brown/B000919,Colorado,Republican,Senate: 1991-1997 House: 1981-1991,
"Representative Brown, Henry E., Jr.",https://www.congress.gov/member/henry-brown/B001235,South Carolina,Republican,House: 2001-2011,1
"Senator Brown, Scott P.",https://www.congress.gov/member/scott-brown/B001268,Massachusetts,Republican,Senate: 2010-2013,
"Senator Brown, Sherrod",https://www.congress.gov/member/sherrod-brown/B000944,Ohio,Democratic,Senate: 2007-Present House: 1993-2007,
"Representative Brown, Shontel M.",https://www.congress.gov/member/shontel-brown/B001313,Ohio,Democratic,House: 2021-Present,11
"Representative Brown-Waite, Ginny",https://www.congress.gov/member/ginny-brown-waite/B001247,Florida,Republican,House: 2003-2011,5
"Senator Brownback, Sam",https://www.congress.gov/member/sam-brownback/B000953,Kansas,Republican,Senate: 1996-2011 House: 1995-1996,
"Representative Brownley, Julia",https://www.congress.gov/member/julia-brownley/B001285,California,Democratic,House: 2013-Present,26
"Senator Broyhill, James T.",https://www.congress.gov/member/james-broyhill/B000966,North Carolina,Republican,Senate: 1986-1987 House: 1963-1986,
"Representative Broyhill, Joel T.",https://www.congress.gov/member/joel-broyhill/B000967,Virginia,Republican,House: 1953-1975,10
"Representative Bruce, Terry L.",https://www.congress.gov/member/terry-bruce/B000971,Illinois,Democratic,House: 1985-1993,19
"Senator Bryan, Richard H.",https://www.congress.gov/member/richard-bryan/B000993,Nevada,Democratic,Senate: 1989-2001,
"Representative Bryant, Ed",https://www.congress.gov/member/ed-bryant/B000996,Tennessee,Republican,House: 1995-2003,7
"Representative Bryant, John W.",https://www.congress.gov/member/john-bryant/B000997,Texas,Democratic,House: 1983-1997,5
"Representative Buchanan, John",https://www.congress.gov/member/john-buchanan/B001008,Alabama,Republican,House: 1965-1981,6
"Representative Buchanan, Vern",https://www.congress.gov/member/vern-buchanan/B001260,Florida,Republican,House: 2007-Present,16
"Representative Buck, Ken",https://www.congress.gov/member/ken-buck/B001297,Colorado,Republican,House: 2015-Present,4
"Senator Buckley, James L.",https://www.congress.gov/member/james-buckley/B001026,New York,Republican,Senate: 1971-1977,
"Representative Bucshon, Larry",https://www.congress.gov/member/larry-bucshon/B001275,Indiana,Republican,House: 2011-Present,8
"Representative Budd, Ted",https://www.congress.gov/member/ted-budd/B001305,North Carolina,Republican,House: 2017-Present,13
"Representative Buechner, Jack",https://www.congress.gov/member/jack-buechner/B001036,Missouri,Republican,House: 1987-1991,2
"Representative Buerkle, Ann Marie",https://www.congress.gov/member/ann-buerkle/B001276,New York,Republican,House: 2011-2013,25
"Senator Bumpers, Dale",https://www.congress.gov/member/dale-bumpers/B001057,Arkansas,Democratic,Senate: 1975-1999,
"Representative Bunn, Jim",https://www.congress.gov/member/jim-bunn/B001063,Oregon,Republican,House: 1995-1997,5
"Senator Bunning, Jim",https://www.congress.gov/member/jim-bunning/B001066,Kentucky,Republican,Senate: 1999-2011 House: 1987-1999,
"Representative Burchett, Tim",https://www.congress.gov/member/tim-burchett/B001309,Tennessee,Republican,House: 2019-Present,2
"Senator Burdick, Jocelyn",https://www.congress.gov/member/jocelyn-burdick/B001076,North Dakota,Democratic,Senate: 1991-1993,
"Senator Burdick, Quentin N.",https://www.congress.gov/member/quentin-burdick/B001077,North Dakota,Democratic,Senate: 1959-1993,
"Representative Burgener, Clair W.",https://www.congress.gov/member/clair-burgener/B001080,California,Republican,House: 1973-1983,43
"Representative Burgess, Michael C.",https://www.congress.gov/member/michael-burgess/B001248,Texas,Republican,House: 2003-Present,26
"Representative Burke, J. Herbert",https://www.congress.gov/member/j-burke/B001091,Florida,Republican,House: 1967-1979,12
"Representative Burke, James A.",https://www.congress.gov/member/james-burke/B001092,Massachusetts,Democratic,House: 1959-1979,11
"Representative Burke, Yvonne B.",https://www.congress.gov/member/yvonne-burke/B001102,California,Democratic,House: 1973-1979,28
"Representative Burleson, Omar",https://www.congress.gov/member/omar-burleson/B001111,Texas,Democratic,House: 1947-1979,17
"Representative Burlison, Bill D.",https://www.congress.gov/member/bill-burlison/B001113,Missouri,Democratic,House: 1969-1981,10
"Senator Burns, Conrad R.",https://www.congress.gov/member/conrad-burns/B001126,Montana,Republican,Senate: 1989-2007,
"Representative Burns, Max",https://www.congress.gov/member/max-burns/B001249,Georgia,Republican,House: 2003-2005,12
"Senator Burr, Richard",https://www.congress.gov/member/richard-burr/B001135,North Carolina,Republican,Senate: 2005-Present House: 1995-2005,
"Senator Burris, Roland",https://www.congress.gov/member/roland-burris/B001266,Illinois,Democratic,Senate: 2009-2010,
"Representative Burton, Dan",https://www.congress.gov/member/dan-burton/B001149,Indiana,Republican,House: 1983-2013,5
"Representative Burton, John",https://www.congress.gov/member/john-burton/B001153,California,Democratic,House: 1973-1983,5
"Representative Burton, Phillip",https://www.congress.gov/member/phillip-burton/B001156,California,Democratic,House: 1963-1985,5
"Representative Burton, Sala",https://www.congress.gov/member/sala-burton/B001158,California,Democratic,House: 1983-1989,5
"Representative Bush, Cori",https://www.congress.gov/member/cori-bush/B001224,Missouri,Democratic,House: 2021-Present,1
"Representative Bustamante, Albert G.",https://www.congress.gov/member/albert-bustamante/B001172,Texas,Democratic,House: 1985-1993,23
"Representative Bustos, Cheri",https://www.congress.gov/member/cheri-bustos/B001286,Illinois,Democratic,House: 2013-Present,17
"Representative Butler, M. Caldwell",https://www.congress.gov/member/m-butler/B001182,Virginia,Republican,House: 1971-1983,6
"Representative Butterfield, G. K.",https://www.congress.gov/member/g-k-butterfield/B001251,North Carolina,Democratic,House: 2004-Present,1
"Representative Buyer, Steve",https://www.congress.gov/member/stephen-buyer/B001203,Indiana,Republican,House: 1993-2011,4
"Senator Byrd, Harry F., Jr.",https://www.congress.gov/member/harry-byrd/B001209,Virginia,Independent,Senate: 1965-1983,
"Senator Byrd, Robert C.",https://www.congress.gov/member/robert-byrd/B001210,West Virginia,Democratic,Senate: 1959-2010 House: 1953-1959,
"Representative Byrne, Bradley",https://www.congress.gov/member/bradley-byrne/B001289,Alabama,Republican,House: 2014-2021,1
"Representative Byrne, Leslie L.",https://www.congress.gov/member/leslie-byrne/B001213,Virginia,Democratic,House: 1993-1995,11
"Representative Byron, Beverly B.",https://www.congress.gov/member/beverly-byron/B001220,Maryland,Democratic,House: 1979-1993,6
"Representative Byron, Goodloe E.",https://www.congress.gov/member/goodloe-byron/B001221,Maryland,Democratic,House: 1971-1979,6
"Representative Callahan, Sonny",https://www.congress.gov/member/h-callahan/C000052,Alabama,Republican,House: 1985-2003,1
"Representative Calvert, Ken",https://www.congress.gov/member/ken-calvert/C000059,California,Republican,House: 1993-Present,42
"Representative Cammack, Kat",https://www.congress.gov/member/kat-cammack/C001039,Florida,Republican,House: 2021-Present,3
"Representative Camp, Dave",https://www.congress.gov/member/dave-camp/C000071,Michigan,Republican,House: 1991-2015,4
"Representative Camp, John N. Happy",https://www.congress.gov/member/john-camp/C000073,Oklahoma,Republican,House: 1969-1975,6
"Senator Campbell, Ben Nighthorse",https://www.congress.gov/member/ben-campbell/C000077,Colorado,Republican,Senate: 1993-2005 House: 1987-1993,
"Representative Campbell, Carroll A., Jr.",https://www.congress.gov/member/carroll-campbell/C000079,South Carolina,Republican,House: 1979-1987,4
"Representative Campbell, John",https://www.congress.gov/member/john-campbell/C001064,California,Republican,House: 2005-2015,45
"Representative Campbell, Tom",https://www.congress.gov/member/tom-campbell/C000100,California,Republican,"House: 1989-1993, 1995-2001",15
"Representative Canady, Charles T.",https://www.congress.gov/member/charles-canady/C000107,Florida,Republican,House: 1993-2001,12
"Representative Cannon, Chris",https://www.congress.gov/member/chris-cannon/C000116,Utah,Republican,House: 1997-2009,3
"Senator Cannon, Howard W.",https://www.congress.gov/member/howard-cannon/C000120,Nevada,Democratic,Senate: 1959-1983,
"Representative Canseco, Francisco ""Quico""",https://www.congress.gov/member/francisco-canseco/C001082,Texas,Republican,House: 2011-2013,23
"Representative Cantor, Eric",https://www.congress.gov/member/eric-cantor/C001046,Virginia,Republican,House: 2001-2014,7
"Senator Cantwell, Maria",https://www.congress.gov/member/maria-cantwell/C000127,Washington,Democratic,Senate: 2001-Present House: 1993-1995,
"Representative Cao, Anh ""Joseph""",https://www.congress.gov/member/anh-cao/C001079,Louisiana,Republican,House: 2009-2011,2
"Senator Capito, Shelley Moore",https://www.congress.gov/member/shelley-capito/C001047,West Virginia,Republican,Senate: 2015-Present House: 2001-2015,
"Representative Capps, Lois",https://www.congress.gov/member/lois-capps/C001036,California,Democratic,House: 1997-2017,24
"Representative Capps, Walter",https://www.congress.gov/member/walter-capps/C000134,California,Democratic,House: 1997-1999,22
"Representative Capuano, Michael E.",https://www.congress.gov/member/michael-capuano/C001037,Massachusetts,Democratic,House: 1999-2019,7
"Representative Caputo, Bruce F.",https://www.congress.gov/member/bruce-caputo/C000137,New York,Republican,House: 1977-1979,23
"Representative Carbajal, Salud O.",https://www.congress.gov/member/salud-carbajal/C001112,California,Democratic,House: 2017-Present,24
"Senator Cardin, Benjamin L.",https://www.congress.gov/member/ben-cardin/C000141,Maryland,Democratic,Senate: 2007-Present House: 1987-2007,
"Representative Cardoza, Dennis A.",https://www.congress.gov/member/dennis-cardoza/C001050,California,Democratic,House: 2003-2012,18
"Representative Carey, Hugh L.",https://www.congress.gov/member/hugh-carey/C000143,New York,Democratic,House: 1961-1975,15
"Representative Carey, Mike",https://www.congress.gov/member/mike-carey/C001126,Ohio,Republican,House: 2021-Present,15
"Representative Carl, Jerry L.",https://www.congress.gov/member/jerry-carl/C001054,Alabama,Republican,House: 2021-Present,1
"Representative Carman, Gregory W.",https://www.congress.gov/member/gregory-carman/C000158,New York,Republican,House: 1981-1983,3
"Senator Carnahan, Jean",https://www.congress.gov/member/jean-carnahan/C001043,Missouri,Democratic,Senate: 2001-2002,
"Representative Carnahan, Russ",https://www.congress.gov/member/russ-carnahan/C001060,Missouri,Democratic,House: 2005-2013,3
"Representative Carney, Charles J.",https://www.congress.gov/member/charles-carney/C000164,Ohio,Democratic,House: 1969-1979,19
"Representative Carney, Christopher P.",https://www.congress.gov/member/christopher-carney/C001065,Pennsylvania,Democratic,House: 2007-2011,10
"Representative Carney, John C., Jr.",https://www.congress.gov/member/john-carney/C001083,Delaware,Democratic,House: 2011-2017,At Large
"Representative Carney, William",https://www.congress.gov/member/william-carney/C000165,New York,Republican,House: 1979-1987,1
"Senator Carper, Thomas R.",https://www.congress.gov/member/thomas-carper/C000174,Delaware,Democratic,Senate: 2001-Present House: 1983-1993,
