name,city,state,url
Des Moines Lapidary Society,Des Moines,Iowa,http://dmlapidary.org/
Geology Club @ Cornell College,Mount Vernon,Iowa,http://orgs.cornellcollege.edu/geo_club/
Iowa State University Geology Club,Ames,Iowa,https://www.facebook.com/ISUGEOCLUB/
River Valley Rockhounds,Fort Dodge,Iowa,http://amfed.org/mwf/states/Iowa/RiverValley.html
The Sac & Fox Lapidary Club,Fairfield,Iowa,http://members.iowatelecom.net/billrath/rock_club.html
McPherson Gem and Mineral Club,McPherson,Kansas,https://mcphersongemandmineralclub.org/
Olathe Gem and Mineral Society,Kansas City,Kansas,http://olathegemclub.com/
Topeka Gem & Mineral Society,Topeka,Kansas,http://www.topekagms.org/
Wichita Gem and Mineral Society,Wichita,Kansas,http://www.wgmsks.org/
Wichita Paleontological Society,Wichita,Kansas,http://www.reocities.com/CapeCanaveral/Hangar/4265/home.html
Blue Grass Gem & Mineral Club of Central Kentucky,Lexington,Kentucky,http://bggamc.homestead.com/
KYANA Geological Society,Louisville,Kentucky,http://www.kyanageo.org/
Kentucky Paleontological Society,Lexington,Kentucky,http://www.uky.edu/OtherOrgs/KPS/
Ark-La-Tex Gem & Mineral Society,Shreveport,Louisiana,http://larockclub.com/
Baton Rouge Gem & Mineral Society,Baton Rouge,Louisiana,http://www.brgemandmineral.org/
DeRidder Gem & Mineral Society,Leesville,Louisiana,https://www.facebook.com/DeRidder-Gem-Mineral-Society-1123146734440993/
Kennebec Rocks and Minerals Club,Winthrop,Maine,http://kennebec-rocksandminerals.com/
Maine Mineralogical & Geological Society,Portland,Maine,http://mainemineralclub.org/
Oxford County Mineral and Gem Association,South Paris,Maine,http://ocmgassoc.blogspot.com/
Penobscot Mineral and Lapidary Club,Milford,Maine,http://penobscotminerallapidaryclub.com/index.html
American Fossil Federation,Bowie,Maryland,http://americanfossilfederation.org/Home.html
Baltimore Mineral Society,Baltimore,Maryland,http://www.baltimoremineralsociety.org/
Calvert Marine Museum Fossil Club,Solomons,Maryland,http://www.calvertmarinemuseum.com/209/Fossil-Club
Central Maryland Rock and Mineral Collectors Exchange,Elkridge,Maryland,https://www.meetup.com/rockhounds/
Chesapeake Gem & Mineral Society,Baltimore,Maryland,http://www.chesapeakegemandmineral.org/
"Gem Cutters Guild of Baltimore, Inc.",Baltimore,Maryland,http://www.gemcuttersguild.com/
"Gem, Lapidary, and Mineral Society of Montgomery County, MD., Inc.",Rockville,Maryland,http://www.glmsmc.com/
Maryland Geological Society,Bowie,Maryland,http://www.ecphora.net/mgs/
Micromineralogists of the National Capital Area,"Washington, DC",Maryland,http://dcmicrominerals.org/
Patuxent Lapidary Guild,Annapolis,Maryland,http://www.patuxentlapidary.org/
Southern Maryland Rock and Mineral Club,Clinton,Maryland,http://www.smrmc.org/
The Mineralogical Society of the District of Columbia,"Washington, DC",Maryland,http://www.mineralogicalsocietyofdc.org/
"Boston Mineral Club, Inc.",Boston,Massachusetts,http://www.bostonmineralclub.org/
Connecticut Valley Mineral Club,Springfield,Massachusetts,http://www.cvmineralclub.org/
Micromounters of New England,Chemlsford,Massachusetts,http://micromountersofnewengland.org/
Nashoba Valley Mineralogical Society,Westford,Massachusetts,http://www.americantowns.com/ma/westford/organization/nashoba_valley_mineralogical_society
North Shore Rock & Mineral Club of Massachusetts,South Hamilton,Massachusetts,http://www.northshorerock.org/
Northern Berkshire Mineral Club,North Adams,Massachusetts,http://nbmclub.webs.com/
Southeastern Massachusetts Mineral Club,Bridgewater,Massachusetts,http://semmc.com/
Worcester Mineral Club,Worcester,Massachusetts,http://worcestermineralclub.org/
"Big Rapids Rock, Gem & Mineral Club",Big Rapids,Michigan,https://sites.google.com/site/bigrapidsrockgemmineralclub/
Central Michigan Lapidary and Mineral Society,Lansing,Michigan,http://michrocks.org/
Copper Country Rock and Mineral Club,Dollar Bay,Michigan,http://www.ccrmc.info/
Flint Rock and Gem Club,Flint,Michigan,http://www.flintrockandgem.org/
Grand Traverse Area Rock and Mineral Club,Traverse City,Michigan,http://tcrockhounds.com/
Indian Mounds Rock & Mineral Club,Wyoming,Michigan,http://www.indianmoundsrockclub.com/
Ishpeming Rock and Mineral Club,Ishpeming,Michigan,http://www.ishpemingrocks.org/
Kalamazoo Geological & Mineral Society,Kalamazoo,Michigan,http://kalamazoorockclub.org/
Livingston Gem & Mineral Society,Howell,Michigan,http://www.livingstongemandmineralsociety.com/
Michigan Gem & Mineral Society,Michigan Center,Michigan,http://mgmsrockclub.com/
Michigan Mineralogical Society,Bloomfield Hills,Michigan,https://www.michmin.org/
Mid-Michigan Rock Club,Midland,Michigan,http://www.midmichrockclub.com/?Page=1
Midwest Faceters' Guild,Grand Rapids,Michigan,http://www.midwestfaceters.org/
Midwest Mineralological & Lapidary Society,Taylor,Michigan,http://www.mmls.us/
Mikenauk Rock and Gem Club,Roscommon,Michigan,http://mikenaukclub.weebly.com/
Mount Clemens Gem & Lapidary Society,Mt. Clemens,Michigan,http://mcgls.org/
Oakland County Earth Science Club,Waterford,Michigan,http://www.ocesc.com/
Roamin Club,Livonia,Michigan,https://roaminrockclub.weebly.com/
StateLine Gem & Mineral Society,Morenci,Michigan,http://statelinegms.com/
"Tulip City Gem & Mineral Club, Inc.",Holland,Michigan,http://www.tulipcity.org/
Anoka County Gem & Mineral Club,Minneapolis,Minnesota,http://www.amfed.org/mwf/states/Minnesota/AnokaGem.html
Carlton County Gem and Mineral Club,Cloquet,Minnesota,https://www.facebook.com/groups/891164997610511/
"Cuyuna Rock, Gem and Mineral Society",Brainerd,Minnesota,http://cuyunarockclub.org/wp/
Minnesota Mineral Club,Falcon Heights,Minnesota,https://minnesotamineralclub.org/
Minnesota Valley Gem & Mineral Club,Mankato,Minnesota,http://www.mnvalleygemandmineralclub.com/
St Croix Rockhounds,Stillwater,Minnesota,http://stcroixrockhounds.org/
Steele County Gem and Mineral Club,Owatonna,Minnesota,https://www.facebook.com/Steele-County-Gem-and-Mineral-Club-176177772423634/
"Harrison County Gem & Mineral Society, Inc.",Gulfport,Mississippi,http://www.gulfportgems.org/
Mississippi Gem & Mineral Society,Jackson,Mississippi,http://missgems.org/
Mississippi Geological Society,Jackson,Mississippi,http://www.missgeo.com/
Mississippi Gulf Coast Gem and Mineral Society,Ocean Springs,Mississippi,http://www.mgcgms.org/
North Mississippi Gem and Mineral Society,Tupelo,Mississippi,http://www.nmgms.org/
Central Missouri Rock and Lapidary Club,Columbia,Missouri,http://www.cmrlc.org/
Independence Gem & Mineral Society,Independence,Missouri,http://www.igams.co/
Missouri Valley Gem & Mineral Society,St. Joseph,Missouri,http://www.movalleyrockclub.com/
"Mozarkite Society of Lincoln, Inc.",Lincoln,Missouri,http://www.mozarkite.com/
Ozark Mountain Gem & Mineral Society,Springfield,Missouri,https://www.facebook.com/omgms.57
Rock Hobby Club of Greater Saint Louis,St. Louis,Missouri,xxxxxhttp://rockhobby.stlearthsci.org/Home.aspxxxxxx
Rockwood Gem & Mineral Society,St. Louis,Missouri,http://rockwood.stlearthsci.org/
St. Louis Mineral & Gem Society,St. Louis,Missouri,http://www.stlrockclub.com/
"Show Me Gems & Minerals Club, Inc.",St. Peters,Missouri,http://showme.stlearthsci.org/
Show-Me Rockhounds Kansas City,Kansas City,Missouri,https://showmerockhounds.com/
"Billings Gem & Mineral Club, Inc.",Billings,Montana,http://www.billingsgemclub.com/
Bitterroot Gem & Mineral Society,Corvallis,Montana,http://www.ravalligemandmineralclub.org/
Bozeman Gem and Mineral Club,Bozeman,Montana,http://bozemangemandmineralclub.com/
Hellgate Mineral Society,Missoula,Montana,https://www.facebook.com/HellgateMineralSociety/
Kalispell Rockhound Club,Kalispell,Montana,http://www.kalispellrockhounds.org/
"Lincoln Gem & Mineral Club, Inc.",Lincoln,Nebraska,https://www.lincolngemmineralclub.org/
Comstock Gold Prospectors,Reno,Nevada,http://cgpgold.org/
Great Basin Gem & Mineral Club,Carson City,Nevada,http://greatbasingemandmineralclub.rocks/
High Desert Rockers,Carson City,Nevada,https://highdesertrockers.wordpress.com/
Nye Gold Seekers,Pahrump,Nevada,http://nyegoldseekers.webs.com/
